Observations	Fst2Try	Fashnista	PplThnkMe	PplAskMe	FashnMzne	NoBgDeal	NotBld	OnlyBest	ExclsvShop	WhrFrndShop	OtherPpl	MagznNews	Catlg	Internet	Excitbl	Thrfty	Contemp	Rationl	Yuthfl	Orthdx	Modst	Age	ApparelEx	Income	Edu
98	1	1	1	1	6	4	3	6	1	1	1	1	1	1	1	4	4	4	4	5	4	2	2	2	3
99	2	2	2	1	1	3	6	6	1	3	6	5	7	1	4	4	3	2	3	5	4	2	2	4	2
100	4	1	4	4	4	4	4	7	1	1	1	1	1	5	7	5	4	2	4	7	1	3	2	3	2
101	2	6	6	1	2	7	4	7	1	1	1	1	1	1	7	7	2	4	7	1	1	4	1	1	2
102	1	1	4	4	1	3	5	7	7	2	2	1	1	1	5	4	4	4	4	5	4	4	2	1	2
103	4	4	6	5	6	2	6	5	4	4	4	4	4	4	4	3	4	4	4	4	3	3	1	2	2
104	1	7	2	6	3	4	6	7	5	2	1	1	1	1	3	5	2	5	2	6	4	2	2	1	1
105	3	5	4	4	3	3	5	6	2	2	4	5	6	1	7	4	3	1	1	3	4	1	2	1	1
106	1	1	1	1	1	7	6	7	4	1	5	1	1	1	2	5	6	5	5	5	3	3	2	2	2
107	2	4	3	3	1	2	3	7	7	1	4	4	4	4	4	4	2	4	2	6	4	2	2	2	3
108	3	3	5	3	5	2	4	3	2	2	2	5	5	2	5	5	4	5	4	5	2	2	1	3	2
109	2	6	4	1	1	1	2	3	1	1	1	6	1	1	5	1	3	3	2	6	6	3	2	2	2
110	2	2	4	2	2	5	3	5	4	6	6	4	4	2	7	4	4	2	4	6	2	1	2	1	3
111	2	2	3	5	6	2	2	2	3	2	2	5	6	1	3	5	3	6	6	4	2	1	1	5	1
112	2	4	5	5	7	1	6	5	2	1	4	5	4	1	3	5	2	5	2	6	5	2	2	5	2
113	2	5	6	4	5	2	2	4	5	2	5	2	3	6	2	6	1	7	7	7	1	2	2	2	3
114	4	3	3	4	6	5	5	5	1	4	3	6	6	2	2	4	3	1	2	4	4	1	2	1	1
115	2	1	3	4	6	2	5	7	5	4	2	5	5	4	7	1	1	1	7	1	1	4	1	1	1
116	1	1	4	4	1	3	6	7	6	2	2	2	5	1	6	6	4	5	3	6	3	4	1	1	3
117	1	2	1	2	5	5	5	6	6	2	6	6	6	3	5	5	2	1	1	2	2	1	1	1	2
118	4	2	2	6	5	3	4	4	2	3	4	5	7	1	1	3	4	5	7	4	1	3	1	5	2
119	1	1	1	1	2	2	1	6	2	1	2	1	2	2	7	6	2	2	7	7	5	4	3	4	2
120	2	2	2	2	4	4	3	4	1	1	6	6	6	1	6	1	4	1	3	6	2	2	2	3	2
121	3	4	4	4	6	3	4	4	4	4	4	5	4	4	3	4	2	4	2	6	4	2	2	4	1
122	5	4	4	5	5	3	5	4	2	2	2	4	5	3	5	4	4	7	4	5	4	2	2	2	1
123	2	6	6	2	1	3	6	6	2	2	2	2	5	2	5	4	4	1	4	7	4	3	2	2	3
124	1	5	4	2	2	2	4	6	2	2	2	3	2	1	5	3	4	2	5	5	2	4	1	3	2
125	4	4	4	6	6	2	3	7	4	1	2	2	2	2	3	7	2	4	6	4	2	2	5	5	3
126	5	3	5	1	5	3	5	5	3	2	5	5	4	2	6	5	4	2	3	4	3	2	2	5	1
127	4	4	4	4	4	4	5	5	5	1	1	1	1	1	5	4	4	4	5	4	2	2	1	5	3
128	4	4	4	4	5	3	4	6	5	3	5	5	5	4	4	5	4	4	4	4	4	2	2	2	1
129	4	4	4	4	5	3	4	5	4	4	5	5	6	4	4	4	3	3	5	5	2	3	2	5	2
130	5	5	5	5	4	2	5	6	6	4	6	6	6	4	5	6	5	1	4	6	3	4	3	3	2
131	5	5	5	4	5	6	4	5	7	7	6	3	6	2	4	3	4	6	2	6	3	2	3	5	2
132	2	4	4	4	5	2	5	3	1	1	2	1	2	1	4	4	4	1	7	4	4	4	2	3	2
133	3	4	5	5	7	1	3	5	1	1	2	6	6	2	3	5	1	2	2	5	4	2	3	1	1
134	4	4	4	2	5	2	5	6	4	4	4	4	4	4	6	6	2	5	6	6	3	3	2	1	2
135	2	2	2	2	5	5	5	7	4	3	7	5	5	5	4	3	4	4	3	5	4	2	2	1	1
136	7	7	7	7	6	1	1	5	6	2	5	5	5	6	1	6	7	5	2	7	6	1	5	1	3
137	2	5	5	5	5	2	3	7	3	3	5	6	6	2	3	4	2	3	5	5	5	2	2	1	2
138	3	3	4	4	3	2	3	6	4	2	5	4	4	4	3	4	4	6	6	4	3	3	1	5	2
139	1	1	4	2	3	2	7	6	3	2	4	5	5	1	5	4	4	4	5	4	4	4	2	2	2
140	3	5	4	2	2	2	2	7	5	1	1	1	3	1	2	5	2	3	4	5	3	2	3	1	1
141	2	4	4	2	2	3	6	5	4	4	2	4	4	5	1	5	3	7	4	7	4	2	3	5	2
142	1	1	1	1	1	5	7	5	1	1	1	1	5	1	4	3	4	5	4	6	2	2	3	3	2
143	1	1	5	5	1	7	7	2	1	1	1	3	3	1	7	2	2	2	7	7	1	2	2	5	1
144	3	3	3	2	2	3	5	3	2	2	2	5	5	2	4	3	4	3	6	5	5	3	1	5	2
145	4	6	6	5	6	2	6	2	4	5	6	4	6	1	4	7	4	6	5	6	6	2	3	2	2
146	5	5	5	5	3	2	5	3	1	1	2	5	5	1	6	6	4	4	5	4	4	2	3	5	2
147	3	3	4	4	6	3	6	3	2	4	4	7	7	4	2	2	3	1	3	6	4	2	2	4	1
148	1	1	1	1	3	6	6	5	2	5	6	5	5	2	5	3	6	2	6	5	2	1	2	2	2
149	1	1	1	1	2	3	6	6	1	1	1	1	3	1	5	4	4	3	6	6	2	3	1	1	1
150	2	4	2	2	5	3	4	5	3	3	5	5	5	5	5	3	2	4	4	7	4	2	2	5	1
151	2	2	2	2	7	3	4	4	2	4	5	5	5	1	3	2	4	5	6	5	3	3	2	2	2
152	1	1	3	1	1	3	5	5	4	2	5	5	2	1	6	2	5	4	6	5	2	2	2	1	1
153	4	5	5	4	4	3	5	5	4	4	6	4	4	4	5	3	5	3	5	3	4	3	2	1	1
154	2	3	4	3	4	2	4	5	4	4	4	4	6	4	3	3	3	4	4	4	2	2	1	1	2
155	1	1	2	1	1	2	5	5	1	1	6	1	1	1	3	3	4	4	7	6	4	3	2	3	2
156	2	2	2	2	2	5	5	5	3	3	5	4	5	4	3	2	3	4	5	6	3	2	2	3	2
157	4	4	4	5	4	4	3	5	3	2	5	4	5	4	5	3	3	5	5	5	2	2	3	4	2
158	3	4	4	4	6	2	5	5	2	2	7	5	5	4	4	3	3	6	3	5	2	2	1	5	2
159	3	3	3	2	2	3	6	5	3	3	5	5	5	2	4	4	4	6	5	5	3	3	2	5	1
160	4	4	4	4	5	3	3	5	4	4	6	5	5	3	3	5	4	7	3	4	5	2	3	1	2
161	4	4	3	4	6	4	3	6	4	4	5	6	6	4	5	4	3	3	4	4	2	1	3	1	2
162	3	5	5	4	3	3	4	4	6	6	6	5	5	4	4	4	3	5	4	4	3	2	1	1	1
163	5	5	5	5	6	1	3	5	5	5	5	6	7	2	2	6	2	2	2	4	5	2	3	4	2
164	3	3	4	5	6	1	3	4	5	4	5	6	7	2	6	5	2	3	3	5	5	2	3	4	3
165	2	3	4	4	5	3	6	2	3	1	2	2	2	2	3	5	3	6	5	5	5	2	2	2	1
166	4	3	4	4	5	3	4	5	5	2	4	4	4	1	4	5	4	4	5	4	4	2	3	2	3
167	1	1	1	1	1	3	5	5	2	1	1	1	1	1	1	4	4	1	2	7	2	2	1	2	2
168	1	2	1	1	2	3	6	4	3	1	3	6	7	4	5	6	5	3	5	3	3	2	2	4	1
169	4	4	4	5	6	2	4	6	4	4	2	2	4	4	4	4	4	2	3	4	2	3	1	4	2
170	1	1	1	1	1	6	5	4	1	1	1	1	1	1	7	7	7	7	7	7	1	4	1	1	3
171	3	3	4	7	6	4	4	4	4	3	6	1	5	1	4	4	4	6	7	4	4	1	4	1	2
172	2	2	2	1	2	5	2	2	1	1	4	2	6	1	2	3	5	4	2	5	4	2	1	5	2
173	5	4	6	6	7	1	4	6	5	4	5	5	5	6	5	4	4	4	5	6	3	3	2	5	1
174	4	4	4	5	3	5	3	3	4	2	6	4	4	1	6	4	2	1	2	6	5	2	2	3	2
175	1	3	3	1	1	2	3	5	5	5	4	6	6	1	3	5	3	3	5	5	3	2	2	2	2
176	1	2	4	2	1	2	4	6	1	2	5	5	6	3	4	4	4	4	4	4	4	2	1	1	3
177	3	5	4	2	3	6	6	7	1	1	6	5	6	1	4	3	6	6	5	4	4	3	2	3	2
178	1	4	4	1	1	5	4	7	5	2	5	5	5	2	6	4	2	2	2	6	3	2	2	3	3
179	2	2	2	4	4	1	6	6	3	1	1	1	6	1	6	3	3	2	3	5	4	4	2	3	2
180	2	2	2	2	2	3	4	6	5	2	4	5	6	5	4	3	4	2	5	5	4	4	2	4	1
181	2	1	1	2	2	6	6	7	5	3	1	1	4	1	5	4	3	6	4	5	2	2	2	2	1
182	2	3	4	4	3	2	5	7	4	4	5	5	5	1	4	3	4	6	6	5	3	2	1	2	1
183	5	5	6	4	7	2	4	6	4	2	7	5	5	2	4	3	2	2	5	6	6	2	2	3	1
184	2	5	5	6	6	2	2	6	5	1	1	1	1	1	4	4	3	2	6	4	5	3	4	1	1
185	1	1	2	2	3	3	6	6	6	5	6	3	5	3	5	3	5	2	5	4	3	2	1	4	3
186	1	2	4	5	5	1	5	5	1	1	5	5	5	2	1	5	3	6	4	5	5	2	1	2	3
187	1	3	2	1	1	3	4	6	6	4	1	3	5	1	3	4	3	3	3	5	4	3	3	1	1
188	3	3	3	3	7	2	5	7	2	6	6	2	4	1	1	5	2	1	1	5	4	1	2	1	1
189	3	4	3	4	6	2	6	6	4	5	3	6	5	1	5	4	5	3	4	4	4	2	3	3	2
190	3	4	4	5	6	2	4	5	4	5	5	4	5	1	3	4	3	5	6	7	2	1	2	2	1
191	5	4	5	7	7	2	6	5	5	1	6	6	6	1	2	6	1	4	6	7	6	2	2	2	1
192	5	5	6	6	7	1	3	7	3	2	3	5	5	3	3	6	3	4	5	6	6	2	4	1	1
193	5	5	6	5	7	2	6	7	7	2	2	7	7	1	1	7	2	7	7	7	1	3	4	5	3
194	7	7	7	7	7	7	2	7	7	7	4	7	7	1	7	7	2	1	1	7	7	2	4	4	3
